,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
194805,  -99.99,   10.11,    8.71,    7.71,   10.67,    9.02,    8.68,    7.96,    7.80,   12.81,    8.53,    8.98,    9.05,    7.74,    9.64,    8.41,    7.51,    9.01,    6.59
194806,  -99.99,   -1.62,   -1.75,   -0.89,   -1.63,   -1.54,   -1.92,   -1.63,   -0.57,   -2.45,   -0.80,   -1.60,   -1.47,   -1.52,   -2.32,   -1.71,   -1.55,   -0.98,   -0.16
194807,  -99.99,   -5.74,   -5.08,   -5.12,   -5.79,   -4.89,   -5.41,   -4.94,   -5.42,   -6.14,   -5.43,   -5.65,   -4.14,   -5.67,   -5.15,   -5.38,   -4.50,   -6.04,   -4.80
194808,  -99.99,   -1.21,   -0.03,    0.55,   -1.57,   -0.53,    0.24,    0.36,    0.45,   -1.32,   -1.81,   -0.50,   -0.56,   -0.38,    0.87,   -0.03,    0.76,    0.00,    0.90
194809,  -99.99,   -5.02,   -4.23,   -3.55,   -5.56,   -3.70,   -4.50,   -4.43,   -3.14,   -5.89,   -5.23,   -3.93,   -3.47,   -4.83,   -4.16,   -4.47,   -4.39,   -3.24,   -3.04
194810,  -99.99,    5.38,    4.97,    5.73,    5.21,    4.96,    4.92,    5.79,    5.72,    5.68,    4.74,    5.74,    4.19,    4.87,    4.97,    5.83,    5.74,    5.09,    6.37
194811,  -99.99,  -11.69,  -10.68,   -9.68,  -11.76,  -10.70,  -10.39,  -10.79,   -9.76,  -10.81,  -12.72,  -11.55,   -9.85,  -10.73,  -10.06,  -12.07,   -9.50,  -10.23,   -9.29
194812,  -99.99,   -1.05,    1.47,    3.38,   -1.66,    0.19,    1.69,    2.67,    3.53,   -2.80,   -0.50,    0.17,    0.22,    1.16,    2.21,    2.29,    3.06,    3.45,    3.62
194901,  -99.99,    3.46,    1.28,    1.02,    3.87,    2.10,    0.91,    1.65,    0.74,    3.57,    4.18,    2.63,    1.57,    1.90,   -0.09,    1.71,    1.59,    0.83,    0.65
194902,  -99.99,   -5.34,   -4.32,   -2.49,   -5.43,   -5.30,   -4.12,   -3.03,   -2.52,   -5.93,   -4.92,   -5.16,   -5.43,   -4.66,   -3.57,   -3.62,   -2.43,   -2.13,   -2.92
194903,  -99.99,    7.05,    6.34,    4.31,    7.19,    6.55,    6.42,    5.13,    4.44,    7.70,    6.67,    6.78,    6.32,    6.57,    6.28,    6.21,    4.05,    4.89,    3.97
194904,  -99.99,   -3.05,   -3.85,   -2.31,   -3.11,   -3.64,   -3.53,   -3.58,   -1.86,   -2.59,   -3.63,   -2.93,   -4.36,   -2.38,   -4.70,   -3.97,   -3.19,   -2.49,   -1.23
194905,  -99.99,   -6.51,   -4.07,   -2.33,   -6.88,   -4.85,   -4.12,   -3.04,   -2.53,   -6.52,   -7.24,   -5.79,   -3.91,   -3.59,   -4.65,   -4.13,   -1.93,   -1.89,   -3.17
194906,  -99.99,   -1.39,   -1.26,    0.53,   -1.29,   -1.26,   -1.55,   -0.54,    0.83,   -1.53,   -1.05,   -1.59,   -0.93,   -1.26,   -1.85,   -1.01,   -0.06,    0.98,    0.67
194907,  -99.99,    6.34,    6.69,    5.53,    6.55,    6.47,    6.58,    6.35,    5.26,    8.03,    5.06,    5.92,    7.00,    6.58,    6.59,    6.61,    6.09,    5.08,    5.44
194908,  -99.99,    2.22,    2.93,    2.30,    2.35,    2.45,    3.08,    2.39,    2.38,    1.74,    2.96,    1.97,    2.93,    3.92,    2.25,    2.63,    2.15,    1.63,    3.13
194909,  -99.99,    4.73,    4.53,    3.65,    4.90,    4.73,    4.33,    4.42,    3.26,    6.09,    3.70,    4.40,    5.05,    4.32,    4.34,    4.39,    4.44,    3.79,    2.73
194910,  -99.99,    6.15,    3.24,    2.72,    6.85,    4.00,    3.54,    2.67,    2.72,    8.67,    5.03,    4.74,    3.26,    3.65,    3.43,    2.61,    2.73,    2.60,    2.83
194911,  -99.99,   -0.74,    1.35,    2.09,   -1.26,    0.55,    1.11,    2.06,    2.27,   -1.76,   -0.75,    0.32,    0.78,    0.95,    1.27,    2.39,    1.73,    2.63,    1.92
194912,  -99.99,    8.35,    7.10,    5.77,    8.22,    7.41,    8.06,    6.18,    5.50,    9.14,    7.30,    8.62,    6.22,    7.99,    8.14,    6.05,    6.32,    5.90,    5.11
195001,  -99.99,    5.88,    4.07,    2.03,    6.52,    4.51,    4.61,    2.48,    1.91,    6.18,    6.86,    4.60,    4.42,    5.27,    3.94,    2.68,    2.29,    2.39,    1.43
195002,  -99.99,    2.57,    1.10,    1.51,    2.52,    2.12,    0.65,    1.58,    1.42,    2.70,    2.34,    2.66,    1.59,    0.15,    1.15,    1.49,    1.67,    2.15,    0.70
195003,  -99.99,   -0.76,   -0.49,    0.79,   -0.38,   -0.86,   -0.77,    0.30,    0.77,   -0.45,   -0.31,   -1.54,   -0.19,   -1.42,   -0.11,   -0.23,    0.84,    0.30,    1.23
195004,  -99.99,    6.15,    4.96,    3.35,    6.51,    5.51,    5.41,    3.42,    3.31,    6.72,    6.30,    5.42,    5.60,    5.73,    5.09,    3.42,    3.43,    3.58,    3.03
195005,  -99.99,    2.87,    3.38,    3.70,    3.32,    2.85,    2.82,    3.54,    4.07,    4.60,    2.06,    1.95,    3.73,    2.83,    2.82,    4.12,    2.94,    3.72,    4.42
195006,  -99.99,   -9.00,   -7.08,   -6.65,   -9.47,   -7.82,   -7.12,   -7.03,   -6.19,   -9.47,   -9.47,   -8.05,   -7.60,   -6.99,   -7.26,   -6.49,   -7.58,   -6.60,   -5.78
195007,  -99.99,    8.61,    4.56,    2.10,    9.48,    6.50,    4.55,    3.43,    1.23,   10.24,    8.72,    6.89,    6.11,    4.43,    4.67,    3.02,    3.83,    1.69,    0.77
195008,  -99.99,    5.20,    5.25,    4.50,    5.30,    4.86,    5.62,    4.57,    4.71,    5.24,    5.36,    5.01,    4.71,    6.19,    5.05,    5.06,    4.09,    4.90,    4.52
195009,  -99.99,    4.50,    6.08,    5.62,    3.93,    5.97,    5.81,    6.31,    5.30,    4.43,    3.43,    5.63,    6.31,    5.22,    6.41,    6.38,    6.24,    5.71,    4.90
195010,  -99.99,   -0.33,   -0.28,   -0.82,   -0.19,    0.15,   -0.50,   -1.15,   -0.60,    0.36,   -0.74,   -0.61,    0.92,   -0.30,   -0.70,   -1.04,   -1.26,   -1.03,   -0.17
195011,  -99.99,    3.14,    3.12,    3.47,    2.96,    3.16,    3.00,    3.55,    3.47,    2.68,    3.24,    3.49,    2.83,    2.38,    3.62,    3.64,    3.46,    3.77,    3.17
195012,  -99.99,   12.49,    7.58,    5.73,   13.78,    9.46,    7.03,    6.88,    5.36,   16.52,   11.03,    9.93,    8.98,    6.09,    7.95,    7.30,    6.46,    5.63,    5.09
195101,  -99.99,    8.70,    7.90,    6.04,    8.60,    8.59,    8.22,    7.11,    5.39,    7.97,    9.23,    8.89,    8.27,    8.61,    7.84,    6.87,    7.34,    5.79,    4.99
195102,  -99.99,    0.52,    1.31,    1.80,    0.26,    1.26,    1.27,    1.65,    1.65,    0.18,    0.34,    1.04,    1.50,    1.10,    1.43,    1.20,    2.09,    2.28,    1.02
195103,  -99.99,   -4.89,   -3.14,   -2.22,   -5.09,   -3.60,   -3.31,   -3.02,   -1.92,   -6.51,   -3.67,   -4.50,   -2.67,   -2.74,   -3.88,   -3.23,   -2.81,   -2.29,   -1.55
195104,  -99.99,    3.74,    4.12,    4.27,    3.59,    4.08,    4.01,    4.34,    4.23,    3.16,    4.01,    4.04,    4.13,    4.33,    3.70,    4.32,    4.35,    3.94,    4.51
195105,  -99.99,   -3.48,   -2.18,   -1.90,   -4.02,   -2.73,   -2.06,   -1.93,   -1.69,   -3.51,   -4.52,   -2.41,   -3.07,   -1.76,   -2.36,   -1.54,   -2.31,   -1.17,   -2.20
195106,  -99.99,   -5.97,   -4.93,   -2.63,   -5.89,   -5.39,   -5.57,   -3.71,   -2.21,   -6.08,   -5.70,   -6.13,   -4.63,   -5.12,   -6.02,   -3.94,   -3.47,   -2.48,   -1.95
195107,  -99.99,    5.03,    6.18,    7.63,    4.13,    6.29,    5.87,    7.37,    7.70,    3.67,    4.58,    6.83,    5.75,    5.84,    5.90,    7.24,    7.49,    7.33,    8.08
195108,  -99.99,    5.62,    4.72,    3.82,    6.07,    4.80,    5.09,    3.76,    3.86,    6.45,    5.70,    4.71,    4.90,    5.71,    4.45,    3.79,    3.73,    3.65,    4.07
195109,  -99.99,    2.73,    2.38,    1.75,    2.02,    3.53,    2.27,    2.28,    1.39,    1.13,    2.89,    4.18,    2.89,    2.24,    2.31,    2.10,    2.45,    2.16,    0.63
195110,  -99.99,   -2.32,   -2.53,   -2.33,   -2.32,   -2.78,   -2.09,   -2.40,   -2.44,   -1.78,   -2.85,   -2.34,   -3.21,   -1.48,   -2.72,   -2.71,   -2.09,   -2.19,   -2.70
195111,  -99.99,   -0.16,    1.16,    1.06,   -0.58,    0.59,    0.94,    1.83,    0.91,   -1.01,   -0.16,    0.70,    0.48,    0.82,    1.06,    2.29,    1.38,    1.21,    0.61
195112,  -99.99,    0.15,    1.43,    3.00,    0.12,    0.89,    0.88,    2.31,    3.40,   -0.37,    0.61,    0.22,    1.55,    0.94,    0.81,    2.42,    2.19,    2.93,    3.87
195201,  -99.99,    1.67,    1.61,    1.96,    1.59,    1.87,    1.52,    1.65,    2.03,    1.63,    1.54,    1.83,    1.90,    1.63,    1.40,    1.51,    1.80,    1.80,    2.27
195202,  -99.99,   -2.35,   -1.72,   -2.26,   -2.68,   -1.77,   -1.75,   -1.62,   -2.55,   -2.63,   -2.73,   -1.70,   -1.83,   -1.50,   -2.00,   -1.57,   -1.67,   -2.36,   -2.75
195203,  -99.99,    1.90,    2.71,    4.05,    1.48,    2.59,    2.69,    3.51,    4.07,    0.37,    2.58,    2.74,    2.43,    2.35,    3.04,    3.01,    4.01,    3.66,    4.47
195204,  -99.99,   -4.56,   -4.11,   -4.80,   -4.42,   -4.52,   -4.00,   -4.68,   -4.63,   -4.64,   -4.20,   -4.82,   -4.22,   -4.22,   -3.76,   -4.24,   -5.12,   -4.37,   -4.90
195205,  -99.99,    1.43,    2.56,    3.08,    1.07,    2.34,    2.39,    2.84,    3.24,    0.72,    1.42,    2.14,    2.54,    2.51,    2.26,    2.94,    2.75,    3.32,    3.15
195206,  -99.99,    2.95,    2.93,    3.41,    3.02,    2.69,    2.79,    3.37,    3.53,    2.68,    3.36,    2.81,    2.58,    2.61,    2.97,    3.58,    3.16,    3.07,    4.00
195207,  -99.99,    0.97,    0.97,    1.23,    0.88,    1.02,    1.16,    1.09,    1.09,    0.07,    1.70,    1.14,    0.89,    0.93,    1.39,    0.68,    1.50,    1.08,    1.10
195208,  -99.99,    0.23,    0.29,   -0.48,    0.00,    0.51,    0.24,    0.07,   -0.62,   -0.33,    0.33,    0.70,    0.32,    0.71,   -0.24,    0.35,   -0.20,   -0.20,   -1.03
195209,  -99.99,   -1.26,   -1.50,   -1.77,   -1.11,   -1.65,   -1.28,   -1.57,   -1.92,   -0.74,   -1.48,   -1.54,   -1.77,   -0.45,   -2.11,   -1.68,   -1.47,   -1.68,   -2.16
195210,  -99.99,   -1.13,   -1.31,   -0.93,   -1.06,   -1.64,   -1.10,   -0.91,   -1.00,   -0.60,   -1.52,   -1.27,   -2.01,   -1.54,   -0.66,   -1.04,   -0.78,   -1.44,   -0.57
195211,  -99.99,    4.72,    5.67,    6.31,    4.13,    5.60,    6.13,    5.54,    6.50,    3.39,    4.87,    5.91,    5.28,    6.53,    5.72,    5.12,    5.95,    7.12,    5.87
195212,  -99.99,    1.56,    2.45,    2.77,    0.83,    2.93,    1.85,    2.73,    3.04,    0.16,    1.51,    2.99,    2.86,    1.12,    2.58,    3.25,    2.22,    2.60,    3.48
195301,  -99.99,    4.54,    2.64,    0.08,    4.87,    3.72,    2.70,    1.45,   -0.53,    6.01,    3.72,    3.89,    3.55,    3.84,    1.56,    1.61,    1.29,   -0.08,   -0.98
195302,  -99.99,    2.40,    1.20,    0.08,    3.17,    1.21,    1.23,    0.74,   -0.21,    2.96,    3.39,    0.88,    1.56,    2.01,    0.45,    0.80,    0.67,   -0.06,   -0.36
195303,  -99.99,   -1.25,   -1.10,   -0.92,   -1.12,   -1.61,   -1.06,   -0.94,   -0.72,   -0.41,   -1.84,   -1.50,   -1.72,   -1.66,   -0.45,   -0.56,   -1.32,   -0.21,   -1.24
195304,  -99.99,   -2.12,   -2.28,   -2.65,   -2.09,   -1.92,   -2.34,   -2.49,   -2.86,   -2.30,   -1.88,   -2.18,   -1.66,   -2.63,   -2.05,   -2.75,   -2.22,   -2.48,   -3.24
195305,  -99.99,    0.80,    0.52,    0.56,    0.88,    0.53,    0.46,    0.61,    0.60,    1.04,    0.72,    0.65,    0.41,    0.60,    0.31,    0.75,    0.47,    0.96,    0.24
195306,  -99.99,   -4.10,   -3.15,   -2.39,   -4.31,   -3.70,   -3.15,   -2.91,   -1.97,   -4.18,   -4.44,   -3.71,   -3.70,   -3.13,   -3.17,   -2.60,   -3.22,   -2.18,   -1.76
195307,  -99.99,    1.24,    1.66,    2.37,    1.43,    1.27,    1.78,    1.50,    2.75,    0.43,    2.42,    0.87,    1.68,    1.43,    2.12,    1.41,    1.58,    2.29,    3.22
195308,  -99.99,   -5.95,   -5.02,   -4.44,   -5.91,   -5.60,   -5.32,   -4.62,   -4.18,   -5.56,   -6.26,   -6.04,   -5.17,   -5.19,   -5.44,   -4.28,   -4.95,   -3.64,   -4.73
195309,  -99.99,   -2.87,   -0.84,    0.34,   -3.27,   -1.23,   -1.14,   -0.39,    0.56,   -4.57,   -1.95,   -2.08,   -0.37,   -1.15,   -1.14,   -0.68,   -0.10,    0.63,    0.49
195310,  -99.99,    2.46,    4.10,    4.53,    2.05,    3.26,    4.49,    4.38,    4.49,    2.26,    1.84,    3.26,    3.25,    4.47,    4.50,    4.16,    4.61,    4.00,    4.98
195311,  -99.99,    1.70,    1.96,    2.86,    1.53,    1.79,    1.79,    2.84,    2.83,    1.29,    1.77,    2.05,    1.52,    1.53,    2.04,    2.75,    2.93,    2.96,    2.69
195312,  -99.99,   -3.25,   -1.40,    0.10,   -3.49,   -2.23,   -1.20,   -0.75,    0.16,   -3.82,   -3.16,   -2.75,   -1.71,   -1.08,   -1.32,   -1.48,   -0.03,    0.33,   -0.01
195401,  -99.99,    8.85,    6.88,    5.77,    9.28,    7.38,    7.17,    6.29,    5.55,   10.31,    8.24,    7.98,    6.78,    7.01,    7.32,    6.39,    6.20,    5.80,    5.30
195402,  -99.99,    0.57,    1.69,    1.68,    0.11,    1.57,    1.78,    1.87,    1.42,   -0.04,    0.26,    1.49,    1.64,    1.79,    1.77,    1.55,    2.19,    1.63,    1.21
195403,  -99.99,    2.47,    2.65,    3.50,    2.45,    2.54,    2.51,    3.53,    3.23,    2.14,    2.76,    2.51,    2.57,    2.33,    2.70,    3.01,    4.04,    3.07,    3.39
195404,  -99.99,    0.79,    1.28,    2.94,    1.07,    0.65,    1.51,    1.58,    3.36,    1.62,    0.52,    0.23,    1.07,    1.19,    1.83,    1.04,    2.11,    2.56,    4.16
195405,  -99.99,    4.04,    4.65,    3.94,    4.38,    4.17,    4.35,    4.62,    3.76,    3.60,    5.17,    3.36,    4.99,    5.07,    3.61,    4.94,    4.31,    4.08,    3.44
195406,  -99.99,    1.29,    1.33,    1.14,    1.46,    1.27,    1.46,    1.48,    0.65,    1.88,    1.04,    0.94,    1.59,    1.04,    1.88,    0.83,    2.13,    1.07,    0.24
195407,  -99.99,    9.26,    6.74,    5.80,    9.97,    7.06,    6.77,    6.57,    5.68,   11.03,    8.93,    7.82,    6.31,    7.29,    6.25,    7.11,    6.03,    6.64,    4.72
195408,  -99.99,    0.55,   -0.99,   -2.34,    0.52,    0.48,   -1.15,   -1.79,   -2.72,    0.89,    0.15,    0.61,    0.34,   -1.10,   -1.21,   -1.99,   -1.60,   -2.59,   -2.85
195409,  -99.99,    3.65,    4.36,    5.14,    3.46,    4.24,    4.24,    4.78,    5.18,    3.24,    3.67,    4.03,    4.46,    4.42,    4.07,    4.52,    5.05,    4.61,    5.77
195410,  -99.99,   -0.47,   -0.55,   -1.08,   -0.45,   -0.89,   -0.24,   -0.49,   -1.37,   -0.41,   -0.48,   -0.53,   -1.25,   -0.29,   -0.19,   -0.47,   -0.51,   -1.03,   -1.72
195411,  -99.99,    7.83,    9.43,    9.81,    7.54,    8.69,   10.08,    9.28,    9.73,    5.84,    9.17,    8.42,    8.96,    9.94,   10.21,    8.59,    9.96,    9.53,    9.94
195412,  -99.99,   12.17,    8.40,    6.09,   13.13,    9.84,    9.04,    6.11,    6.06,   14.95,   11.38,   10.22,    9.46,    9.44,    8.63,    6.06,    6.15,    6.84,    5.25
195501,  -99.99,    2.44,    1.53,    0.23,    3.18,    0.99,    2.14,    0.39,    0.34,    3.20,    3.16,    0.93,    1.05,    1.65,    2.63,    0.76,    0.02,    0.71,   -0.04
195502,  -99.99,    5.21,    4.40,    3.21,    5.38,    4.19,    4.94,    3.57,    3.33,    3.94,    6.75,    4.88,    3.53,    5.13,    4.75,    4.17,    2.97,    3.48,    3.17
195503,  -99.99,    0.01,    0.04,    0.23,    0.13,    0.13,    0.25,   -0.86,    0.79,    0.09,    0.17,   -0.24,    0.50,   -0.21,    0.70,   -0.82,   -0.90,    1.56,    0.02
195504,  -99.99,    2.53,    1.98,    2.70,    2.29,    2.23,    2.05,    2.50,    2.74,    2.99,    1.63,    3.03,    1.44,    1.63,    2.48,    2.37,    2.63,    2.20,    3.27
195505,  -99.99,    0.43,    0.51,    1.24,    0.54,    0.19,    0.56,    0.99,    1.24,    0.93,    0.18,    0.20,    0.19,    0.59,    0.54,    0.73,    1.25,    1.01,    1.47
195506,  -99.99,    3.34,    2.85,    4.62,    3.16,    2.94,    2.77,    4.05,    4.71,    2.88,    3.42,    3.71,    2.20,    3.27,    2.26,    3.65,    4.45,    3.97,    5.44
195507,  -99.99,    1.71,    0.40,    0.22,    1.62,    1.05,    0.15,    0.48,    0.40,    2.32,    0.92,    1.89,    0.21,    0.06,    0.24,    1.09,   -0.14,    0.22,    0.58
195508,  -99.99,    0.04,    0.68,    0.88,   -0.22,    0.24,    0.97,    0.80,    0.97,   -0.19,   -0.25,    0.56,   -0.08,    0.92,    1.02,    0.89,    0.70,    0.85,    1.09
195509,  -99.99,    0.14,   -0.86,   -1.66,    0.75,   -1.00,   -0.74,   -1.38,   -1.61,    0.32,    1.16,   -1.07,   -0.94,   -0.25,   -1.23,   -1.02,   -1.74,   -2.66,   -0.55
195510,  -99.99,   -1.66,   -1.34,   -2.21,   -1.87,   -1.25,   -1.19,   -1.90,   -2.25,   -2.31,   -1.44,   -1.21,   -1.29,   -0.91,   -1.47,   -1.68,   -2.12,   -2.06,   -2.45
195511,  -99.99,    3.56,    6.00,    6.78,    2.97,    5.38,    6.03,    6.36,    6.78,    2.31,    3.62,    4.73,    6.02,    5.72,    6.34,    5.92,    6.79,    6.44,    7.12
195512,  -99.99,    2.49,    2.29,    1.94,    2.68,    1.97,    2.72,    1.95,    1.91,    2.49,    2.85,    2.11,    1.83,    3.20,    2.25,    1.90,    2.00,    2.05,    1.76
195601,  -99.99,   -0.67,   -2.59,   -2.69,   -0.47,   -1.61,   -2.61,   -3.03,   -2.49,   -0.66,   -0.29,   -1.05,   -2.15,   -2.28,   -2.95,   -2.96,   -3.11,   -2.37,   -2.60
195602,  -99.99,    2.87,    3.29,    3.90,    2.56,    3.41,    3.02,    3.84,    3.89,    2.62,    2.50,    3.49,    3.33,    2.55,    3.49,    3.76,    3.91,    3.57,    4.22
195603,  -99.99,    4.23,    4.76,    6.46,    4.21,    4.29,    4.83,    5.29,    6.91,    2.58,    5.77,    4.25,    4.34,    3.75,    5.90,    5.03,    5.54,    6.15,    7.68
195604,  -99.99,    0.78,    0.37,    0.13,    0.53,    0.63,    0.39,    0.54,   -0.01,    1.04,    0.05,    1.26,    0.01,    0.62,    0.15,    0.68,    0.41,   -0.68,    0.67
195605,  -99.99,   -4.21,   -3.84,   -3.97,   -3.79,   -4.41,   -3.63,   -3.73,   -4.38,   -4.02,   -3.56,   -5.04,   -3.79,   -4.03,   -3.24,   -4.30,   -3.15,   -3.43,   -5.33
195606,  -99.99,    0.88,    2.22,    3.22,    0.43,    1.57,    2.57,    2.45,    3.56,    0.08,    0.76,    1.77,    1.36,    1.83,    3.29,    2.38,    2.52,    3.51,    3.62
195607,  -99.99,    3.04,    3.92,    4.93,    2.42,    3.62,    3.93,    4.58,    5.25,    1.74,    3.09,    4.27,    2.95,    3.62,    4.24,    4.85,    4.31,    4.94,    5.55
195608,  -99.99,   -1.25,   -1.59,   -2.60,   -1.20,   -1.25,   -1.40,   -2.67,   -2.42,   -1.42,   -1.00,   -1.35,   -1.15,   -1.12,   -1.67,   -2.39,   -2.95,   -1.22,   -3.60
195609,  -99.99,   -2.71,   -3.26,   -4.88,   -2.75,   -2.48,   -3.46,   -3.93,   -5.26,   -3.66,   -1.86,   -2.62,   -2.34,   -3.45,   -3.47,   -3.74,   -4.13,   -4.83,   -5.69
195610,  -99.99,    0.59,    0.80,    0.80,    0.43,    0.59,    0.73,    0.91,    1.02,    0.33,    0.52,    0.91,    0.27,    0.78,    0.68,    1.47,    0.35,    1.38,    0.67
195611,  -99.99,   -0.11,    0.86,    0.85,   -0.25,    0.56,    0.87,    0.64,    1.00,   -0.54,    0.03,    0.18,    0.96,    0.76,    0.98,    0.72,    0.55,    1.19,    0.81
195612,  -99.99,    1.27,    2.69,    2.82,    0.81,    2.67,    2.15,    3.01,    2.86,    0.46,    1.15,    2.19,    3.17,    2.05,    2.25,    3.28,    2.74,    2.90,    2.82
195701,  -99.99,    2.84,    0.08,   -1.91,    3.24,    1.44,    0.16,   -0.85,   -2.45,    4.67,    1.84,    2.04,    0.84,   -0.01,    0.33,   -0.86,   -0.84,   -1.46,   -3.41
195702,  -99.99,   -2.50,   -2.45,   -1.82,   -2.28,   -2.66,   -2.86,   -1.77,   -1.80,   -2.77,   -1.81,   -2.94,   -2.39,   -3.44,   -2.28,   -1.69,   -1.85,   -1.66,   -1.94
195703,  -99.99,    1.84,    2.50,    2.25,    1.76,    1.99,    2.50,    2.47,    2.39,    1.49,    2.02,    2.00,    1.99,    2.84,    2.16,    3.00,    1.96,    2.49,    2.29
195704,  -99.99,    2.45,    1.97,    3.49,    2.81,    1.86,    1.79,    2.83,    3.57,    3.48,    2.16,    1.74,    1.99,    1.41,    2.17,    2.33,    3.33,    2.90,    4.23
195705,  -99.99,    1.05,    2.24,    3.09,    0.34,    2.12,    2.42,    2.16,    3.64,    0.72,   -0.03,    2.49,    1.76,    2.10,    2.75,    2.34,    1.98,    3.54,    3.74
195706,  -99.99,    0.65,   -1.10,   -1.63,    1.23,   -0.66,   -1.30,   -1.62,   -1.33,    2.11,    0.37,   -0.51,   -0.81,   -1.36,   -1.24,   -0.99,   -2.25,   -2.25,   -0.42
195707,  -99.99,    0.80,    0.53,    0.34,    0.77,    0.81,    0.41,    0.32,    0.45,    0.95,    0.58,    0.86,    0.75,    0.20,    0.62,    0.54,    0.11,    0.22,    0.68
195708,  -99.99,   -4.26,   -5.22,   -5.13,   -4.08,   -4.75,   -5.26,   -5.79,   -4.66,   -4.69,   -3.48,   -4.65,   -4.84,   -5.19,   -5.33,   -5.51,   -6.08,   -4.88,   -4.44
195709,  -99.99,   -5.11,   -5.56,   -5.20,   -5.10,   -5.18,   -5.90,   -5.22,   -5.18,   -6.51,   -3.72,   -5.13,   -5.24,   -6.53,   -5.28,   -5.20,   -5.24,   -5.13,   -5.23
195710,  -99.99,   -8.34,   -6.55,   -4.54,   -8.92,   -7.27,   -6.78,   -5.23,   -4.23,   -9.95,   -7.93,   -7.15,   -7.38,   -7.43,   -6.11,   -5.29,   -5.17,   -4.36,   -4.11
195711,  -99.99,    0.16,    2.36,    3.61,    0.43,    0.20,    2.91,    2.96,    3.85,   -0.51,    1.34,   -0.39,    0.78,    2.69,    3.13,    2.80,    3.13,    3.96,    3.74
195712,  -99.99,   -5.48,   -5.20,   -3.75,   -5.52,   -5.70,   -5.43,   -3.95,   -3.64,   -4.98,   -6.04,   -5.40,   -6.01,   -5.89,   -4.96,   -3.93,   -3.97,   -3.21,   -4.06
195801,  -99.99,   14.27,   10.85,    6.90,   14.85,   12.59,   10.93,    9.48,    5.62,   15.48,   14.25,   13.08,   12.11,   11.60,   10.25,    9.46,    9.50,    6.25,    4.99
195802,  -99.99,   -1.46,   -0.81,   -1.24,   -1.69,   -0.39,   -1.16,   -1.13,   -1.28,   -1.68,   -1.69,   -1.02,    0.23,   -1.73,   -0.57,   -1.13,   -1.13,   -0.91,   -1.66
195803,  -99.99,    3.58,    3.69,    3.44,    3.44,    3.33,    3.89,    3.79,    3.44,    3.13,    3.73,    3.86,    2.80,    4.23,    3.55,    4.15,    3.44,    3.24,    3.64
195804,  -99.99,    4.06,    2.37,    3.12,    4.22,    3.38,    1.93,    3.02,    2.97,    5.48,    2.99,    3.74,    3.03,    2.30,    1.55,    2.61,    3.44,    3.58,    2.35
195805,  -99.99,    4.21,    4.38,    3.03,    4.42,    4.04,    4.82,    3.17,    3.17,    5.70,    3.19,    3.78,    4.30,    5.18,    4.45,    3.59,    2.74,    3.51,    2.84
195806,  -99.99,    3.90,    2.87,    3.05,    3.83,    3.32,    2.80,    3.13,    3.09,    4.58,    3.10,    4.04,    2.60,    3.59,    2.00,    3.27,    2.98,    3.24,    2.94
195807,  -99.99,    5.66,    5.71,    4.81,    5.86,    5.10,    6.50,    4.88,    4.80,    5.76,    5.95,    5.28,    4.93,    6.91,    6.08,    4.92,    4.84,    4.84,    4.75
195808,  -99.99,    3.62,    3.33,    2.05,    3.88,    3.13,    3.71,    2.84,    1.59,    4.53,    3.23,    3.09,    3.17,    3.96,    3.46,    2.73,    2.94,    1.64,    1.55
195809,  -99.99,    5.99,    5.46,    4.21,    6.54,    5.74,    4.83,    4.93,    4.18,    7.27,    5.82,    4.89,    6.60,    5.09,    4.57,    5.59,    4.29,    4.11,    4.24
195810,  -99.99,    3.11,    3.45,    3.15,    2.75,    4.24,    3.09,    3.27,    2.95,    2.31,    3.19,    3.84,    4.63,    2.55,    3.63,    3.01,    3.53,    3.31,    2.60
195811,  -99.99,    4.95,    4.03,    3.99,    4.52,    5.56,    3.41,    4.45,    3.54,    3.01,    6.02,    5.79,    5.33,    3.95,    2.86,    3.99,    4.89,    3.76,    3.31
195812,  -99.99,    3.37,    3.83,    4.46,    3.39,    3.92,    3.21,    4.12,    4.78,    3.18,    3.60,    3.33,    4.50,    3.04,    3.37,    4.42,    3.83,    4.42,    5.15
195901,  -99.99,    7.26,    4.08,    1.44,    8.15,    5.19,    4.21,    2.57,    1.06,    9.03,    7.29,    5.47,    4.92,    4.52,    3.90,    2.97,    2.18,    1.18,    0.95
195902,  -99.99,    3.19,    3.16,    2.04,    3.20,    2.93,    3.53,    2.70,    1.79,    3.13,    3.27,    3.17,    2.68,    3.19,    3.87,    2.89,    2.52,    1.74,    1.85
195903,  -99.99,    1.86,    1.22,    0.41,    1.30,    2.34,    0.79,    0.97,    0.46,    0.48,    2.14,    2.97,    1.71,    0.61,    0.97,    1.63,    0.32,    0.69,    0.24
195904,  -99.99,    1.90,    3.23,    2.62,    2.07,    2.55,    3.05,    3.08,    2.49,    1.71,    2.43,    1.57,    3.55,    2.64,    3.46,    3.27,    2.89,    2.14,    2.83
